status;invitation;relevance;lurker;recnum;code;itime;Q1;Q3a;Q5a;Q5b;Q5c;Q5d;Q5e;Q5f;Q5g;Q5h;Q5i;Q5j;Q5k;Q5l;Q5m;Q5n;Q5o;Q5p;Q5q;Q5r;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q6h;Q6i;Q6j;Q6k;Q6l;Q6m;Q6n;Q6o;Q6p;Q6q;Q6r;Q7a;Q7b;Q7c;Q7d;Q7e;Q7f;Q8a;Q8b;Q8c;Q8d;Q8e;Q8f;Q9a;Q9b;Q9c;Q9d;Q10a;Q10b;Q10c;Q11a;Q11b;Q11c;Q11d;Q11e;Q11f;Q11g;Q12a;Q12b;Q12c;Q12d;Q13a;Q13b;Q13c;Q13d;Q13e;Q13f;Q13g;Q13h;Q13i;Q13j;Q14a;Q14b;Q14c;Q15a;Q17;Q18;Q19;Q20a;Q20b;Q21;Q22;Q23;Q24a;Q24b;V1B3T0;V1B3T1;V1B3T2;Q25;Q26;Q27;Q28a;Q28b;Q29;Q30;Q31;Q32a;Q32b;Q33;Q34;Q35;Q36a;Q36b;V2B2T0;V2B2T1;V2B2T2;Q37;Q38;Q39;Q40a;Q40b;Q41;Q42;Q43;Q44a;Q44b;Q45;Q46;Q47;Q48a;Q48b;V3B3T0;V3B3T1;V3B3T2;Q49;Q50;Q51;Q52a;Q52b;Q53;Q54;Q55;Q56a;Q56b;Q57;Q58;Q59;Q60a;Q60b;V4B1T0;V4B1T1;V4B1T2;Q61;Q62;Q63;Q64a;Q64b;Q65;Q66;Q67;Q68a;Q68b;Q69;Q70;Q71;Q72a;Q72b;V5B2T0;V5B2T1;V5B2T2;Q73;Q74;Q75;Q76a;Q76b;Q77;Q78;Q79;Q80a;Q80b;Q81;Q82;Q83;Q84a;Q84b;V6B1T0;V6B1T1;V6B1T2;Q85;Q86;Q87;Q88a;Q88b;Q89;Q89_3_text;Q90;Q91;Q91_2_text;Q92;Q93;Q94;Q95;Q96;Q97;Q98;random_15124694;random_15125852;random_15125933;random_15125048;random_15125972;random_15126093;random_15126095;random_15126101;random_15126105;random_15119837;random_1333244;random_1333248;random_1333252;random_1333706;random_1333708;random_1333710;random_1333713;random_1333715;random_1333717;random_1333720;random_1333722;random_1333724;random_1333727;random_1333729;random_1333731;random_1333734;random_1333736;random_1333738;t_insert;t_edit;date_0;date_1;date_2;date_3;date_4;date_5;date_6;date_7;date_8;date_9;date_10;date_11;date_12;date_13;date_14;date_15;date_16;date_17;date_18;date_19;date_20;date_21;date_22;Browser;BrowserVersion;OS;Device;Referer;Unsubscribed;Language
5;0;1;0;393;;13.05.2025;1;3;2;3;3;4;3;4;4;4;4;4;3;4;4;3;4;4;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;89;89;6;5;5;79;74;3;5;5;-2;-2;-1;66;67;4;5;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;33;1;-2;4;3;3;20;2;4;5;13,6,16,8,9,15,12,10,7,4,17,1,18,14,2,3,11,5;2,17,3,9,7,10,6,4,11,16,14,18,15,1,8,13,12,5;1,3,6,4,2,5;6,4,5,2,1,3;2,1,3,4;1,3,2;6,7,1,2,5,3,4;3,4,1,2;3,2,6,7,10,4,1,8,9,5;2,1,3;;;;;;;;;;V4B2T1;V4B3T0;V4B1T2;;;;;;;13.05.2025 10:34:28;13.05.2025 10:41:55;13.05.2025 10:34:32;13.05.2025 10:34:35;13.05.2025 10:34:55;13.05.2025 10:35:54;13.05.2025 10:36:24;13.05.2025 10:36:40;13.05.2025 10:37:17;13.05.2025 10:39:13;13.05.2025 10:39:21;13.05.2025 10:39:23;13.05.2025 10:39:23;;;;;13.05.2025 10:39:52;13.05.2025 10:40:37;13.05.2025 10:40:57;13.05.2025 10:40:57;;;13.05.2025 10:41:55;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36";Chrome 135.0;Win10;PC;https://iframe-tasks.yandex/;0;
6;0;1;0;394;;13.05.2025;1;3;5;4;5;5;5;5;5;4;3;5;5;5;4;4;5;5;5;5;3;4;4;3;3;3;4;3;4;4;3;4;3;3;3;4;4;4;2;3;2;3;3;2;3;3;3;4;4;4;1;1;1;2;5;4;4;2;4;4;4;4;4;5;4;4;4;3;4;4;4;3;4;3;3;3;2;3;5;4;4;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;80;82;5;5;5;100;98;7;7;7;-1;-2;-2;65;70;4;7;4;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;44;1;-2;3;3;1;33;4;1;4;16,4,6,5,18,12,1,11,3,15,8,13,10,17,7,2,9,14;3,16,7,13,10,9,14,1,18,6,4,12,15,2,11,17,8,5;1,6,3,5,2,4;5,4,2,3,1,6;4,1,2,3;1,2,3;3,1,5,4,6,2,7;4,2,3,1;1,3,6,7,4,2,5,8,10,9;2,3,1;;;;;;;;;;;;;V5B3T2;V5B1T0;V5B2T0;;;;13.05.2025 10:34:28;13.05.2025 10:43:04;13.05.2025 10:34:33;13.05.2025 10:34:35;13.05.2025 10:34:44;13.05.2025 10:35:29;13.05.2025 10:36:23;13.05.2025 10:36:57;13.05.2025 10:37:35;13.05.2025 10:38:20;13.05.2025 10:38:38;13.05.2025 10:38:42;13.05.2025 10:43:04;;;;;;;13.05.2025 10:40:19;13.05.2025 10:41:12;13.05.2025 10:41:43;13.05.2025 10:43:03;13.05.2025 10:42:49;13.05.2025 10:42:57;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.6312.118 Mobile Safari/537.36 XiaoMi/MiuiBrowser/14.32.0-gn";Chrome 123.0;Android;Phone;0;0;
5;0;1;0;395;;13.05.2025;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;2;3;4;3;4;4;4;3;3;3;3;4;3;3;3;3;4;3;3;3;5;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;19;20;4;6;4;81;0;2;6;2;-2;-1;-2;74;84;6;5;6;2;-2;38;1;-2;5;3;2;1;2;2;3;2,15,3,18,5,16,11,13,10,12,6,9,1,7,14,8,17,4;4,10,8,14,7,2,13,16,5,18,17,12,1,9,6,15,3,11;5,6,2,3,1,4;4,1,6,5,3,2;2,3,1,4;3,2,1;5,4,6,7,3,2,1;1,3,2,4;7,8,1,3,9,4,6,2,5,10;2,1,3;;;;;;;;;;;;;;;;V6B3T1;V6B2T2;V6B1T1;13.05.2025 10:34:29;13.05.2025 10:46:08;13.05.2025 10:34:36;13.05.2025 10:34:41;13.05.2025 10:34:49;13.05.2025 10:35:44;13.05.2025 10:37:16;13.05.2025 10:38:52;13.05.2025 10:39:41;13.05.2025 10:42:42;13.05.2025 10:43:21;13.05.2025 10:43:27;13.05.2025 10:43:28;;;;;;;;;13.05.2025 10:44:16;13.05.2025 10:44:52;13.05.2025 10:46:08;;"Mozilla/5.0 (Linux; arm_64; Android 10; CLT-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.107 YaBrowser/25.4.2.107.00 SA/3 Mobile Safari/537.36";Chrome 134.0;Android;Phone;https://iframe-tasks.yandex/;0;
6;0;1;0;396;;13.05.2025;1;3;5;5;5;5;5;5;3;4;3;4;4;4;3;4;2;4;4;2;4;2;3;3;3;3;2;2;3;3;4;4;3;2;4;4;3;4;1;2;1;5;1;2;4;4;4;2;2;4;2;2;2;1;4;4;3;2;2;3;3;2;4;5;3;4;4;3;1;2;1;2;1;1;1;1;1;3;3;3;4;3;0;0;1;7;2;0;0;1;1;1;-1;-2;-2;0;70;4;4;4;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;22;1;-2;2;3;2;18;2;3;6;6,1,10,9,7,18,15,17,5,3,11,13,14,8,2,16,4,12;13,15,16,4,10,11,9,1,3,17,18,6,8,7,2,12,14,5;5,6,3,1,2,4;5,1,2,3,6,4;4,2,3,1;3,2,1;7,6,2,3,1,5,4;1,3,4,2;4,7,9,2,6,3,10,8,1,5;2,3,1;V1B1T2;V1B2T1;V1B3T0;;;;;;;;;;;;;;;;13.05.2025 10:34:29;13.05.2025 10:56:31;13.05.2025 10:34:35;13.05.2025 10:34:48;13.05.2025 10:35:14;13.05.2025 10:38:23;13.05.2025 10:40:59;13.05.2025 10:43:00;13.05.2025 10:46:07;13.05.2025 10:48:35;13.05.2025 10:49:47;13.05.2025 10:51:38;13.05.2025 10:52:32;13.05.2025 10:54:53;13.05.2025 10:54:53;;;;;;;;;13.05.2025 10:56:22;13.05.2025 10:56:31;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";Chrome 0.0;Android;Phone;0;0;
6;0;1;0;397;;13.05.2025;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;38;59;4;4;4;44;56;4;4;4;-2;-1;-2;100;0;1;7;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;29;1;-2;3;2;4;86;3;4;6;6,1,5,10,12,17,15,4,14,16,9,13,8,2,11,3,7,18;7,17,12,9,18,15,10,1,11,5,14,13,8,6,16,4,2,3;6,4,3,2,1,5;3,1,2,4,6,5;3,2,4,1;2,3,1;3,5,4,1,7,6,2;1,3,4,2;7,4,3,1,2,10,9,8,5,6;3,1,2;;;;V2B1T2;V2B3T0;V2B2T1;;;;;;;;;;;;;13.05.2025 10:34:30;13.05.2025 10:39:32;13.05.2025 10:34:34;13.05.2025 10:34:39;13.05.2025 10:34:45;13.05.2025 10:35:10;13.05.2025 10:35:39;13.05.2025 10:35:59;13.05.2025 10:36:20;13.05.2025 10:36:46;13.05.2025 10:36:57;13.05.2025 10:37:00;13.05.2025 10:37:01;13.05.2025 10:37:55;13.05.2025 10:38:17;13.05.2025 10:38:48;13.05.2025 10:38:48;;;;;;;13.05.2025 10:39:25;13.05.2025 10:39:32;"Mozilla/5.0 (Linux; arm; Android 11; M2006C3LG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.97 YaBrowser/25.2.6.97.00 SA/3 Mobile Safari/537.36";Chrome 132.0;Android;Phone;https://iframe-tasks.yandex/;0;
5;0;1;0;398;;13.05.2025;1;3;1;2;2;4;1;1;3;4;1;1;2;1;1;1;1;2;2;4;1;1;1;2;1;2;2;2;1;1;1;1;2;1;2;1;2;2;2;2;1;2;2;2;1;3;1;3;4;4;1;1;1;2;4;3;3;3;3;3;3;3;3;5;2;1;2;2;3;3;3;4;2;4;4;4;4;3;4;3;3;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;31;32;3;6;2;86;79;5;1;6;-2;-2;-1;98;94;5;6;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;36;1;-2;4;3;1;67;3;4;7;8,4,5,18,12,7,13,6,15,10,2,11,17,16,14,3,9,1;13,10,5,6,14,18,8,1,9,16,7,15,3,11,2,4,17,12;6,4,1,5,2,3;2,5,3,6,1,4;4,2,3,1;2,3,1;4,7,3,2,5,6,1;1,3,4,2;8,6,10,7,4,1,3,9,5,2;2,1,3;;;;;;;V3B2T1;V3B1T0;V3B3T2;;;;;;;;;;13.05.2025 10:34:31;13.05.2025 10:44:20;13.05.2025 10:34:32;13.05.2025 10:34:35;13.05.2025 10:34:42;13.05.2025 10:35:48;13.05.2025 10:38:29;13.05.2025 10:39:13;13.05.2025 10:39:47;13.05.2025 10:40:29;13.05.2025 10:40:46;13.05.2025 10:40:51;13.05.2025 10:40:51;;;13.05.2025 10:41:21;13.05.2025 10:41:43;13.05.2025 10:43:52;13.05.2025 10:43:52;;;;;13.05.2025 10:44:20;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";Chrome 0.0;Win10;PC;https://iframe-tasks.yandex/;0;
6;0;1;0;399;;13.05.2025;1;3;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;3;4;3;3;3;3;3;3;4;4;4;4;3;3;3;4;3;3;3;4;4;4;3;2;5;5;5;2;2;2;2;2;2;2;4;4;4;3;3;4;3;3;4;5;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;100;0;1;7;1;50;50;6;1;1;-1;-2;-2;50;0;1;7;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;26;1;-2;5;4;2;42;4;4;7;5,4,3,15,9,10,18,1,6,14,17,7,8,2,11,13,12,16;16,4,5,18,12,11,2,6,17,13,15,1,8,10,9,7,3,14;4,6,3,2,5,1;1,3,2,4,6,5;2,3,4,1;3,1,2;6,4,2,7,5,3,1;2,4,3,1;2,7,3,10,1,5,6,4,9,8;2,3,1;;;;;;;;;;V4B2T0;V4B3T0;V4B1T0;;;;;;;13.05.2025 10:34:31;13.05.2025 10:41:35;13.05.2025 10:34:33;13.05.2025 10:34:36;13.05.2025 10:34:45;13.05.2025 10:35:21;13.05.2025 10:36:02;13.05.2025 10:36:39;13.05.2025 10:37:32;13.05.2025 10:38:23;13.05.2025 10:38:47;13.05.2025 10:38:57;13.05.2025 10:38:57;;;;;13.05.2025 10:39:37;13.05.2025 10:40:32;13.05.2025 10:40:50;13.05.2025 10:40:51;;;13.05.2025 10:41:27;13.05.2025 10:41:35;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;
6;0;1;0;400;;13.05.2025;1;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;4;5;5;5;5;5;5;5;5;4;4;2;4;4;5;5;5;2;4;5;5;2;1;2;4;4;4;4;5;4;4;4;4;5;5;5;5;5;4;4;4;4;5;4;4;2;4;2;2;4;2;3;4;5;5;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;88;100;7;1;7;0;80;7;6;1;-2;-1;-2;100;100;7;5;7;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;-2;30;1;-2;5;4;2;66;5;2;4;8,5,3,9,17,15,16,12,11,7,13,14,18,6,2,4,10,1;2,1,4,15,14,12,13,17,9,3,18,10,16,5,6,8,7,11;1,5,4,3,2,6;2,5,3,4,1,6;1,4,3,2;3,2,1;6,1,3,5,2,4,7;4,2,3,1;2,9,1,4,8,5,7,10,3,6;2,1,3;;;;;;;;;;;;;V5B3T0;V5B1T0;V5B2T1;;;;13.05.2025 10:34:31;13.05.2025 10:45:22;13.05.2025 10:34:45;13.05.2025 10:34:48;13.05.2025 10:34:56;13.05.2025 10:35:52;13.05.2025 10:36:58;13.05.2025 10:38:01;13.05.2025 10:39:12;13.05.2025 10:40:50;13.05.2025 10:41:40;13.05.2025 10:41:45;13.05.2025 10:41:46;;;;;;;13.05.2025 10:43:12;13.05.2025 10:43:51;13.05.2025 10:44:23;13.05.2025 10:44:23;13.05.2025 10:45:11;13.05.2025 10:45:22;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;
6;0;1;0;401;;13.05.2025;1;3;5;5;5;5;4;4;4;4;3;4;3;3;3;3;4;3;4;4;5;5;5;3;3;3;3;4;3;3;4;3;3;3;4;3;3;4;2;4;3;4;2;2;3;2;2;4;4;4;4;3;3;2;5;4;4;3;3;2;3;4;3;5;4;4;4;4;5;4;5;4;5;3;4;5;3;3;1;1;1;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;25;50;4;4;4;100;0;1;7;1;-2;-1;-2;0;50;4;4;4;2;-2;51;1;-2;5;4;2;10;5;2;4;5,3,1,15,6,10,7,12,17,13,4,11,2,18,8,14,9,16;2,6,3,14,10,4,1,8,18,5,17,12,16,9,15,11,7,13;2,3,5,6,1,4;3,6,4,2,5,1;4,3,2,1;1,3,2;5,1,6,3,4,7,2;4,1,3,2;4,2,7,6,3,9,1,8,5,10;2,3,1;;;;;;;;;;;;;;;;V6B3T0;V6B2T2;V6B1T1;13.05.2025 10:34:31;13.05.2025 10:51:20;13.05.2025 10:34:34;13.05.2025 10:34:37;13.05.2025 10:34:44;13.05.2025 10:37:06;13.05.2025 10:39:52;13.05.2025 10:41:13;13.05.2025 10:43:42;13.05.2025 10:45:39;13.05.2025 10:46:50;13.05.2025 10:46:57;13.05.2025 10:46:57;;;;;;;;;13.05.2025 10:49:06;13.05.2025 10:49:50;13.05.2025 10:51:03;13.05.2025 10:51:20;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";Chrome 0.0;Win10;PC;https://iframe-tasks.yandex/;0;
5;0;1;0;402;;13.05.2025;1;3;4;4;5;5;5;5;3;4;4;4;3;4;5;5;5;3;5;3;3;2;3;1;1;2;2;2;3;2;3;2;3;3;3;3;2;2;2;3;2;4;3;2;2;2;2;4;3;4;2;2;2;2;2;2;1;1;1;1;2;2;3;5;2;3;3;3;4;2;2;3;3;2;3;4;3;3;4;3;4;3;72;82;5;2;6;89;0;1;7;4;-1;-2;-2;77;76;5;3;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;48;1;-2;3;4;6;64;3;4;7;15,5,9,8,4,10,6,13,14,1,18,17,12,7,2,16,3,11;16,9,2,11,12,17,14,15,10,1,13,4,18,6,3,7,5,8;4,2,5,3,6,1;3,1,5,6,2,4;3,2,4,1;3,2,1;1,3,6,7,4,2,5;2,3,1,4;2,8,4,10,3,9,5,1,6,7;2,1,3;V1B1T0;V1B2T0;V1B3T0;;;;;;;;;;;;;;;;13.05.2025 10:34:32;13.05.2025 10:45:11;13.05.2025 10:34:39;13.05.2025 10:34:43;13.05.2025 10:34:55;13.05.2025 10:36:11;13.05.2025 10:37:20;13.05.2025 10:38:21;13.05.2025 10:39:40;13.05.2025 10:41:06;13.05.2025 10:41:51;13.05.2025 10:42:44;13.05.2025 10:43:28;13.05.2025 10:44:09;13.05.2025 10:44:10;;;;;;;;;13.05.2025 10:45:11;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 YaBrowser/25.4.0.0 Safari/537.36";Chrome 134.0;Win10;PC;https://iframe-tasks.yandex/;0;
6;0;1;0;403;;13.05.2025;1;3;3;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;3;3;3;3;3;2;3;3;2;1;3;3;2;3;2;3;3;3;1;2;2;1;2;2;2;2;2;4;5;4;2;1;1;2;1;1;1;3;4;4;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;2;4;3;5;4;4;5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;95;83;5;5;5;100;100;6;2;7;-2;-2;-1;74;89;4;6;3;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;38;1;-2;3;3;4;49;2;4;6;10,12,8,5,7,3,1,13,18,9,11,14,15,17,2,16,6,4;12,13,8,16,18,14,3,17,11,4,5,15,7,1,9,10,2,6;3,5,2,6,1,4;4,5,3,6,2,1;1,4,2,3;1,3,2;5,2,4,3,6,7,1;4,3,2,1;8,3,10,5,4,6,1,9,2,7;3,1,2;;;;V2B1T1;V2B3T0;V2B2T2;;;;;;;;;;;;;13.05.2025 10:34:32;13.05.2025 10:40:23;13.05.2025 10:34:36;13.05.2025 10:34:38;13.05.2025 10:34:42;13.05.2025 10:35:20;13.05.2025 10:35:57;13.05.2025 10:36:27;13.05.2025 10:37:21;13.05.2025 10:38:01;13.05.2025 10:38:23;13.05.2025 10:38:28;13.05.2025 10:38:28;13.05.2025 10:38:55;13.05.2025 10:39:18;13.05.2025 10:39:41;13.05.2025 10:39:41;;;;;;;13.05.2025 10:40:18;13.05.2025 10:40:23;"Mozilla/5.0 (Linux; arm_64; Android 11; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.107 YaBrowser/25.4.2.107.00 SA/3 Mobile Safari/537.36";Chrome 134.0;Android;Phone;0;0;
